id,@id,addr:city,admin_level,alt_name,border_type,boundary,city,designation,district,is_in:city,kaynak,name,name:en,name:ku,name:ru,network,note,old_name,place,population,population:date,source,type,wall:material,@relations,wikidata,wikimedia_commons,wikipedia
relation/6728446,relation/6728446,,"8",,,administrative,,,,,,Gazi Osmanpaşa Mahallesi,,,,,,,,,,,boundary,,,Q109390487,,
relation/6728461,relation/6728461,,"8",,,administrative,,,,,,Mevlana Mahallesi,,,,,,,,,,,boundary,,,Q109390490,,
relation/6728462,relation/6728462,,"8",,,administrative,,,,,,Törekent Mahallesi,,,,,,,,,,,boundary,,,Q97223162,,
relation/6728843,relation/6728843,,"8",,,administrative,,,,,,Mustafa Kemal Mahallesi,,,,,,,,,,,boundary,,,Q109390491,,
relation/6728890,relation/6728890,,"8",,,administrative,,,,,,Menderes Mahallesi,,,,,,,,,,,boundary,,,Q109390489,,
relation/6729026,relation/6729026,,"8",,,administrative,,,,,,29 Ekim Mahallesi,,,,,,,,,,,boundary,,,Q109390482,,
relation/6729027,relation/6729027,,"8",,,administrative,,,,,,Fevzi Çakmak Mahallesi,,,,,,,,,,,boundary,,,Q109390485,,
relation/6729173,relation/6729173,,"8",,,administrative,,,,,,Çoğlu Mahallesi,,,,,,,,,,,boundary,,,Q6083738,,
relation/6745047,relation/6745047,,"8",,,administrative,,,,,,Atakent Mahallesi,,,,,,,,,,,boundary,,,Q97320905,,"tr:Atakent, Etimesgut"
relation/6745048,relation/6745048,,"8",,,administrative,,,,,,Topçu Mahallesi,,,,,,,,,,,boundary,,,Q97321037,,
relation/6745049,relation/6745049,,"8",,,administrative,,,,,,Oğuzlar Mahallesi,,,,,,,,,,,boundary,,,Q97320997,,
relation/6745064,relation/6745064,,"8",,,administrative,,,,,,Ayyıldız Mahallesi,,,,,,,,,,,boundary,,,Q97320908,,
